decoratorName	kind	context	ownerHash	pyTypeLinkHash	pyMethodLinkHash	position	applicationOrder	startLine	endLine	dottedPath	fullText	argumentCount	pyExpressionLinkHash	resolvedTargetHash	isKnownBuiltin	builtinKind	replacesTarget	pyModuleLinkHash	serviceVersionLinkHash	pyDecoratorUniqueHash
classmethod	BARE	METHOD_DECLARATION	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc		PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	0	0	8	8	classmethod	@classmethod		PY_EXPRESSION_f638a614305f3ee7d65d33e3e371a06a		true	CLASSMETHOD	false	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	SERVICE_VERSION_00000000000000000000000000000000	PY_DECORATOR_d0551c6f24fa1e6f855ebefda08a0290
classmethod	BARE	METHOD_DECLARATION	PY_METHOD_735371219289ab8d6688fce54c3902f5		PY_METHOD_735371219289ab8d6688fce54c3902f5	0	0	13	13	classmethod	@classmethod		PY_EXPRESSION_837e2382484464d9b7d0bff83cd34280		true	CLASSMETHOD	false	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	SERVICE_VERSION_00000000000000000000000000000000	PY_DECORATOR_a7a7f4d09d92d4ec39e128221fc3e576
