name	fieldTypeName	fieldBaseType	potentialQualifiedName	isAmbiguous	filePath	startLine	endLine	pyTypeLinkHash	ownerTypeName	ownerQualifiedName	fieldAccess	fieldModifier	fieldOrigin	declaringMethodLinkHash	receiverName	isDeclaredInInit	writeCount	writtenInMethodCount	firstWriteLine	hasAnnotation	annotationIsString	initializerText	initializerKind	pyModuleLinkHash	bindingLinkHash	pyExpressionLinkHash	serviceVersionLinkHash	pyFieldUniqueHash
name				false	core/base.py	5	5	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	self	true	1	1	5	false	false	name	NAME	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		PY_EXPRESSION_20703ae196c67aff063c8cd381b996d5	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_b0e5b34b1a094e7acf6906355e160de2
children				false	core/base.py	6	6	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	Node	core.base.Node	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_1d96ee91a2da9f3d4ed85847fa8e0e95	self	true	1	1	6	false	false	[]	LITERAL	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		PY_EXPRESSION_516c2bd768c98b24084558fe6b5c3b65	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_92a577eda9d4ad685256c9883bb33092
nodes				false	core/base.py	27	27	PY_TYPE_7d051928cdce6f2d1d3846fed8c732d7	Registry	core.base.Registry	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_29d34dde40fdbda38d1b7a232f746c70	self	true	1	1	27	false	false	[]	LITERAL	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df		PY_EXPRESSION_a81622f1cc75e158392dcb5e2c23b243	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_ba85a389f3261a471f173b2c4368ec27
KIND				false	core/factory.py	5	5	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	Builder	core.factory.Builder	PUBLIC_ACCESS	CLASS_VAR,READ_ONLY	CLASS_BODY_ASSIGN			false	1	0	5	false	false	"""builder"""	LITERAL	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	PY_BINDING_bf39417281e333ef17a45d9b5bff73e0	PY_EXPRESSION_4881ba467590117614462d404973805e	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_dff14961d665d7e3d2d96c9f56a337f4
name				false	core/factory.py	17	17	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	Builder	core.factory.Builder	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_ddf199e958543cb835d700a3097fe194	self	true	1	1	17	false	false	name	NAME	PY_MODULE_6f13b60b719c68df32c58e7656b90f51		PY_EXPRESSION_ef38d9b259eb138a8b37c96c9020c20d	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_f293fe4c8e9629363e5b327ac525be20
node				false	core/factory.py	18	18	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	Builder	core.factory.Builder	PUBLIC_ACCESS	INSTANCE_VAR,READ_ONLY	SELF_ASSIGN	PY_METHOD_ddf199e958543cb835d700a3097fe194	self	true	1	1	18	false	false	Node(name)	CALL	PY_MODULE_6f13b60b719c68df32c58e7656b90f51		PY_EXPRESSION_610bb24bb3e27561957ea796152a9ec6	SERVICE_VERSION_00000000000000000000000000000000	PY_FIELD_1500c04bb5bcc7ee18d8f9d1388adfa7
