name	qualifiedName	fileName	filePath	baseMservPath	moduleKind	packageQualifiedName	isPackage	isStub	pythonDialect	targetVersion	emissionRegime	grammarUsed	futureImports	encodingDeclared	hasModuleDocstring	hasDunderAll	dunderAllIsStatic	dunderAllNames	moduleInitMethodLinkHash	moduleScopeLinkHash	isExternal	serviceVersionLinkHash	pyModuleUniqueHash
core	core	__init__.py	core/__init__.py	/repo	PACKAGE_INIT		true	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_1ec9dd6cff96c8d149e5e988044c5acd	PY_SCOPE_295594e03a9a1a16619070d1ea44e657	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_933b805b0d496400952bb195a87ddcc4
base	core.base	base.py	core/base.py	/repo	MODULE	core	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_22330a12005374ea1b1705c24d3d9eab	PY_SCOPE_3c613edd29e908501e094287155dad00	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df
factory	core.factory	factory.py	core/factory.py	/repo	MODULE	core	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_ab5cc7a30b6043be518aff1866d5e976	PY_SCOPE_1a66b4df14c55812e96bca2cde6ce7be	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_6f13b60b719c68df32c58e7656b90f51
services	services	__init__.py	services/__init__.py	/repo	PACKAGE_INIT		true	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			false	false	false		PY_METHOD_9dedf4dcb1b93993e7b0923a4b22c76f	PY_SCOPE_6b50777482245a1a4d12a9c4e1e842f9	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_79f94e1feca2b14402365d6b037aa2b0
consumer	services.consumer	consumer.py	services/consumer.py	/repo	MODULE	services	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_d8fafed7f87f116a2e1781226cd15529	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_774333793bea69d5a3272a3a6a444e6f
inheritance	services.inheritance	inheritance.py	services/inheritance.py	/repo	MODULE	services	false	false	PY3	3.10.4	PY3_0_11	TS_PYTHON3			true	false	false		PY_METHOD_c8156bf9dfbf065d0bf7b847ba5e38ef	PY_SCOPE_5253c6980abebba734c188cf7d78e831	false	SERVICE_VERSION_00000000000000000000000000000000	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31
