baseKind	position	baseText	baseSimpleName	baseDottedPath	keywordName	pyTypeLinkHash	pyModuleLinkHash	pyExpressionLinkHash	pyTypeReferenceLinkHash	resolvedTypeLinkHash	isResolvedLocally	isDynamic	startLine	serviceVersionLinkHash	pyTypeBaseUniqueHash
NAME	0	Exception	Exception	Exception		PY_TYPE_954bd0ecfee39ac0c063e703d356e3a5	PY_MODULE_26d35b2196b998f00bc6fe14819c7c1e		PY_TYPE_REFERENCE_0a0cd72766159f65a439842e92c69b4d		false	false	19	SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_BASE_cad3c5d0a1b9ba836b3eae2090a81f9d
NAME	0	Service	Service	Service		PY_TYPE_8c23474ac198ab42fc8b799ff25b3510	PY_MODULE_47972cfb252e2f1acae1bbbe05a0ad79		PY_TYPE_REFERENCE_b4a27c24cd36cb5383c778f4f4e7ba5e	PY_TYPE_e6f0886e1ee43ec949057e681defe894	true	false	89	SERVICE_VERSION_00000000000000000000000000000000	PY_TYPE_BASE_1da6b73806dfc6b209c13a7132ac2153
